run_accession	experiment_accession	sample_accession	scientific_name	fastq_ftp	fastq_bytes	submitted_ftp	submitted_bytes
ERR10114844	ERX9651990	SAMEA5971591	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/044/ERR10114844/ERR10114844.fastq.gz	1669493600	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114844/FUM002.A0102.fastq.gz	1508641802
ERR10114854	ERX9652000	SAMEA5971595	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/054/ERR10114854/ERR10114854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/054/ERR10114854/ERR10114854_2.fastq.gz	159674249;162786344	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114854/GOY005.A0103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114854/GOY005.A0103_2.fastq.gz	141813236;144943557
ERR10114857	ERX9652003	SAMEA5971625	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/057/ERR10114857/ERR10114857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/057/ERR10114857/ERR10114857_2.fastq.gz	4303836274;4416774292	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114857/OFN001.A0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114857/OFN001.A0102_2.fastq.gz	3968799396;4080036686
ERR10114860	ERX9652006	SAMEA5971627	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/060/ERR10114860/ERR10114860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/060/ERR10114860/ERR10114860_2.fastq.gz	3040102609;3135803560	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114860/RIG001.A0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114860/RIG001.A0102_2.fastq.gz	2796791333;2891373992
ERR10114861	ERX9652007	SAMEA5971599	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/061/ERR10114861/ERR10114861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/061/ERR10114861/ERR10114861_2.fastq.gz	35365445;36069916	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114861/SPM001.A0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114861/SPM001.A0102_2.fastq.gz	30156032;30671030
ERR10114864	ERX9652010	SAMEA5971601	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/064/ERR10114864/ERR10114864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/064/ERR10114864/ERR10114864_2.fastq.gz	92186390;95208396	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114864/VLD001.A0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114864/VLD001.A0102_2.fastq.gz	81738436;84751073
ERR10114867	ERX9652013	SAMEA110744185	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/067/ERR10114867/ERR10114867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/067/ERR10114867/ERR10114867_2.fastq.gz	14798699;15848835	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114867/EXB020.A0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114867/EXB020.A0102_2.fastq.gz	13924147;14997639
ERR10114874	ERX9652020	SAMEA14099738	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/074/ERR10114874/ERR10114874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/074/ERR10114874/ERR10114874_2.fastq.gz	19081757;19944937	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114874/LIB007.A0125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114874/LIB007.A0125_2.fastq.gz	17605484;18466644
ERR10114875	ERX9652021	SAMEA110744192	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/075/ERR10114875/ERR10114875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/075/ERR10114875/ERR10114875_2.fastq.gz	21785198;23603781	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114875/LIB007.A0127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114875/LIB007.A0127_2.fastq.gz	20186476;22035734
ERR10114876	ERX9652022	SAMEA110744193	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/076/ERR10114876/ERR10114876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/076/ERR10114876/ERR10114876_2.fastq.gz	35221349;36092174	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114876/LIB007.A0151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114876/LIB007.A0151_2.fastq.gz	33245977;34169470
ERR10114877	ERX9652023	SAMEA110744194	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/077/ERR10114877/ERR10114877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/077/ERR10114877/ERR10114877_2.fastq.gz	7701833;7169255	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114877/LIB030.A0121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114877/LIB030.A0121_2.fastq.gz	7054761;6550552
ERR10114882	ERX9652028	SAMEA110744183	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/082/ERR10114882/ERR10114882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/082/ERR10114882/ERR10114882_2.fastq.gz	1741072981;1773597594	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114882/EMN007.A0101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114882/EMN007.A0101_2.fastq.gz	1584177928;1618589363
ERR10114883	ERX9652029	SAMEA110744184	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/083/ERR10114883/ERR10114883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/083/ERR10114883/ERR10114883_2.fastq.gz	2015202297;2025835621	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114883/EMN008.A0101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114883/EMN008.A0101_2.fastq.gz	1831783673;1843570481
ERR14129330	ERX13531996	SAMEA5971594	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/030/ERR14129330/ERR14129330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/030/ERR14129330/ERR14129330_2.fastq.gz	85412942;88283544	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14129330/GDN001.B0102_PE50_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14129330/GDN001.B0102_PE50_2.fastq.gz	100043530;102847453
ERR14129332	ERX13531998	SAMEA5971593	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/032/ERR14129332/ERR14129332.fastq.gz	834133312	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14129332/GDN001.A0102_SE75_0.fastq.gz	849077129
